"Title:","Private and Commercial Automobiles Registered from the Automobiles (Registered Vehicles) Database"
"SubTitle:","State"
"Time:","1995 - 2019"
"Unit of Measure:","#","#","#","#","#"
"Citation:","Office of Highway Policy Information, Federal Highway Administration (2021-06-03). Private and Commercial Automobiles Registered: Private and Commercial Automobiles Registered | California, Louisiana, New York, Tennessee, Texas, 1995 - 2019. Data Planet? Statistical Datasets: A SAGE Publishing Resource. (Dataset). Dataset-ID:  013-003-001 doi:https://doi.org/10.6068/DP17D9A876F2046"
"ColumnCount:","6"
"RowCount:","24"

"Time","California - #","Louisiana - #","New York - #","Tennessee - #","Texas - #"
"1995",14677140,1927080,7846764,3913546,8427262
"1996",15223427,1870526,7914682,2974582,7391282
"1997",15527896,1895899,7993829,2733758,6889442
"1998",15993732,1931065,7594138,2673118,7239347
"1999",16473544,1927305,7821962,2599419,7521189
"2000",17132486,1925331,7430864,2832941,7396837
"2001",17726983,1953186,7517062,2990575,7618374
"2002",18253474,1945352,7843302,2784155,7700051
"2003",18499896,1952011,8232330,2760578,7730882
"2004",19056743,1926007,8467840,2866519,8620603
"2005",19437878,1910389,8891232,2809039,8793091
"2006",19632257,1898303,8446670,2853626,8689470
"2007",19828580,1883585,8784537,2996307,8680601
"2008",19705643,1900021,8493769,2809235,8711324
"2009",19758848,1880569,8644109,2831544,8711324
"2010",17765625,1854348,7870375,2712117,8198523
"2011",14393047,1778628,5760132,2607173,8851376
"2012",12999038,1471603,4991599,2209551,7679657
"2013",13597778,1466291,5119508,2248204,7810175
"2014",13789501,1420906,5132288,2236150,7991684
"2015",14232593,1409821,4823532,2268376,8356594
"2017",14615499,1360611,4541749,2274107,8084454
"2018",14820833,1360559,4690752,2234092,8155311
"2019",14654371,1321964,4425722,2137154,8223542



"Publisher:", "Federal Highway Administration"
"Copyright:", "The data contained in Data Planet(tm): A SAGE Publishing Resource is made available via license agreement with subscribing organizations. Your organization's license may vary from this version."
